pos,0,4,1,2,6,3,5
1,1109,clustering*,k,ieee*,observations,a,dimension*
2,2014*,algorithms,j,tvcg,interaction*,different*,dimensional*
3,2011*,clusters*,c*,york,analysis,similar*,space*
4,2005,algorithm*,s,usa,interactions*,result,layout*
5,2013*,cluster*,d*,acm*,tasks*,local*,dimensions*
6,1145,pipeline,pp,oli,observation,performed,row*
7,2012*,dataset,m*,ny,transactions*,vast*,
8,2009*,node,et,leman*,graphics,common*,
9,2007*,analytics*,p,pca*,output,international,
10,1111,datasets*,t*,oct,representation,modify,
11,201x*,nodes*,h*,cid*,assignments*,correct*,
12,,misclassiﬁcation*,l*,andromeda*,science,,
13,,,pi,,outcome,,
14,,,,,representations*,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
