pos,5,34,13,12,2,27,18,22,28,19,1,32,21,23,26,9,8,11,30,33,17,20,24,10,25,31,7,29,15,0,6,14,16,3,4
1,η*,groups,cid*,pca*,8,state,algorithms,data,interactions*,figure*,usa*,dimensions,computer*,clustering,questions*,ﬁrst*,example*,organizing,interest*,people*,section*,layout*,social*,gtm,documents,visual,means,task*,display,2005,s,high,based,10,1
2,φ*,entity*,acm,t4*,174*,university*,model,information,relationships*,projection,china*,distance,mouse*,clusters*,discussion,speciﬁc*,time,moving*,importance*,individuals*,table*,interface,human*,tvcg,proceedings,spatial*,sense*,positions,use,2009*,d*,a,selected,12*,2
3,pi,organization*,leman,s4*,89*,world,process,analysis,relationship*,projections*,microsoft*,glyphs,screen,cluster*,comments,automatic*,result,updating*,ability*,us*,list*,clutter*,learning*,keim,paper*,semantic,terms*,position,support*,2011,j,different*,shown*,11,3*
4,µ,terrorist*,mueller,t1*,129*,tuition*,techniques*,observations*,relations*,calculation,dept*,subspace*,tabletop,scatterplot,question*,final*,basis*,performing*,frequency,employees*,locations,navigation*,foraging*,pascucci*,conference,statistical,metaphor,roles*,change,2012*,e,large,provided,13*,5*
5,δ*,organizations*,clus*,,838*,college*,methods*,study,collaboration,projected,yahoo*,matrix,browser,graph,query*,latent,decade*,posting,emphasis*,,lists*,workspace*,,dimen*,papers*,mapping,term,assignments,displays,2006,m,related,shared,48*,6*
6,β*,sect*,impi*,,1111,heidelberg,systems,observation*,partner*,estimate*,,pixel,button,nodes*,comment,ﬁnal*,conversely*,executing*,awareness*,,names*,,,bava,symposium*,analytic,meaning*,assignment*,learn,2010,c,similar,left,09*,9
7,σ*,,aco*,,421*,athletic*,approach,selection,,estimates*,,axis,slider,node*,discussions,,week*,engaging*,sensitivity,,,,,rundensteiner,panel*,multidimensional*,phrase*,responsibility*,find*,2003,g*,low,reported,,0*
8,π,,oli,,,athletics*,tools,results,,validation,,subspaces*,clicking,centroid,answers*,,,,status,,,,,uggtm,,spatialization,,,generate*,2008,p,multi,located,,
9,,,vd,,,,features,survey,,,,metric,car,leaf,pat*,,,,,,,,,saket*,,manifold*,,,execute*,2014,b*,current,highlighted*,,
10,,,johansson,,,,models,reasoning*,,,,vector*,windows,,proposals,,,,,,,,,reeb,,topological,,,,2007,k,relevant,separated,,
11,,,gbc*,,,,pipeline,collection,,,,vectors*,phone*,,,,,,,,,,,andrienko*,,nonlinear*,,,,2013*,r,complex,according,,
12,,,,,,,jigsaw,decision,,,,pixels,toolbar,,,,,,,,,,,,,probabilistic,,,,2015*,al,parallel,available*,,
13,,,,,,,version,findings*,,,,layer,keyboards*,,,,,,,,,,,,,contour,,,,2017,et,coordinated,asked,,
14,,,,,,,types,samples,,,,encodings,typing,,,,,,,,,,,,,regression,,,,2016,x,oriented,updated,,
15,,,,,,,approaches,sample,,,,texture,tablet,,,,,,,,,,,,,expressive,,,,201x,h,non,containing,,
16,,,,,,,scenarios,sampling,,,,euclidean,pad,,,,,,,,,,,,,posterior,,,,,t*,interesting,obtained,,
17,,,,,,,challenges,,,,,mesh,,,,,,,,,,,,,,asynchronous,,,,,n,specific*,assigned*,,
18,,,,,,,manipulation,,,,,kernel,,,,,,,,,,,,,,deterministic,,,,,pp,closely,leads,,
19,,,,,,,scenario,,,,,,,,,,,,,,,,,,,generative,,,,,v,reduced,defined,,
20,,,,,,,solutions,,,,,,,,,,,,,,,,,,,topographic,,,,,f,vast,sat,,
21,,,,,,,resolution,,,,,,,,,,,,,,,,,,,affordances,,,,,i,average,published,,
22,,,,,,,advances*,,,,,,,,,,,,,,,,,,,,,,,,l,correlated,won,,
23,,,,,,,solution,,,,,,,,,,,,,,,,,,,,,,,,w,highest,,,
24,,,,,,,pipelines,,,,,,,,,,,,,,,,,,,,,,,,y,difficult*,,,
25,,,,,,,technologies*,,,,,,,,,,,,,,,,,,,,,,,,ing,aligned,,,
